date,tournament,home_team,away_team,home_score,away_score,neutral
2016-01-03,SAFF Cup,India,Afghanistan,2.0,1.0,False
2016-01-06,Friendly,Rwanda,Cameroon,1.0,1.0,False
2016-01-06,Friendly,Sweden,Estonia,1.0,1.0,True
2016-01-08,Friendly,Bangladesh,Sri Lanka,4.0,2.0,False
2016-01-08,Copa América qualification,Trinidad and Tobago,Haiti,0.0,1.0,True
2016-01-08,Copa América qualification,Panama,Cuba,4.0,0.0,False
2016-01-10,Friendly,Rwanda,DR Congo,1.0,0.0,False
2016-01-10,Friendly,Sweden,Finland,3.0,0.0,True
2016-01-11,Friendly,Maldives,Cambodia,3.0,2.0,True
2016-01-13,Friendly,Finland,Iceland,0.0,1.0,True
2016-01-13,Friendly,Nepal,Sri Lanka,1.0,0.0,True
2016-01-13,Friendly,Uganda,Cameroon,0.0,0.0,False
2016-01-15,Friendly,Bangladesh,Nepal,0.0,0.0,False
2016-01-16,Friendly,United Arab Emirates,Iceland,2.0,1.0,False
2016-01-19,Friendly,Maldives,Nepal,1.0,4.0,True
2016-01-27,Friendly,Egypt,Jordan,0.0,1.0,False
2016-01-29,Friendly,Egypt,Libya,2.0,0.0,False
2016-01-31,Friendly,United States,Iceland,3.0,2.0,False
2016-02-05,Friendly,Bahrain,Lebanon,2.0,0.0,False
2016-02-06,Friendly,Guadeloupe,Martinique,1.0,1.0,False
2016-02-14,Friendly,Uzbekistan,Lebanon,2.0,0.0,True
2016-02-21,Friendly,Guyana,Suriname,2.0,0.0,False
2016-02-25,Friendly,French Guiana,Suriname,2.0,3.0,False
2016-02-27,Friendly,Egypt,Burkina Faso,2.0,0.0,False
2016-03-13,Friendly,Sint Maarten,Anguilla,2.0,0.0,False
2016-03-13,ConIFA Challenger Cup,Tamil Eelam,Romani people,4.0,1.0,True
2016-03-18,Friendly,Iraq,Syria,0.0,1.0,True
2016-03-18,Friendly,United Arab Emirates,Bangladesh,6.0,1.0,False
2016-03-22,CFU Caribbean Cup qualification,Cuba,Bermuda,2.0,1.0,False
2016-03-23,CFU Caribbean Cup qualification,Antigua and Barbuda,Aruba,2.0,1.0,False
2016-03-23,CFU Caribbean Cup qualification,Barbados,Curaçao,1.0,0.0,False
2016-03-23,Friendly,Croatia,Israel,2.0,0.0,False
2016-03-23,Friendly,Gibraltar,Liechtenstein,0.0,0.0,False
2016-03-23,CFU Caribbean Cup qualification,Guadeloupe,Suriname,0.0,0.0,False
2016-03-23,African Cup of Nations qualification,Guinea-Bissau,Kenya,1.0,0.0,False
2016-03-23,CFU Caribbean Cup qualification,Martinique,British Virgin Islands,3.0,0.0,False
2016-03-23,Friendly,Poland,Serbia,1.0,0.0,False
2016-03-23,Friendly,Romania,Lithuania,1.0,0.0,False
2016-03-23,African Cup of Nations qualification,São Tomé and Príncipe,Libya,2.0,1.0,False
